# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
R-HSA-5676590	NIK-->noncanonical NF-kB signaling	9	41	0.00728286235515	0.0418050579308
R-HSA-75815	Ubiquitin-dependent degradation of Cyclin D	8	34	0.00724252439458	0.0418050579308
R-HSA-5610780	Degradation of GLI1 by the proteasome	9	41	0.00728286235515	0.0418050579308
R-HSA-3642279	TGFBR2 MSI Frameshift Mutants in Cancer	2	2	0.00747947205186	0.0427242037694
R-HSA-9831926	Nephron development	4	10	0.00764621573564	0.0430467241655
R-HSA-9028731	Activated NTRK2 signals through FRS2 and FRS3	4	10	0.00764621573564	0.0430467241655
R-HSA-2033519	Activated point mutants of FGFR2	4	10	0.00764621573564	0.0430467241655
R-HSA-186763	Downstream signal transduction	7	28	0.00833676975744	0.046709843952
R-HSA-5607761	Dectin-1 mediated noncanonical NF-kB signaling	9	42	0.00857594855906	0.0478211226793
R-HSA-9679191	Potential therapeutics for SARS	15	89	0.00893693101172	0.0495978493589
