BIANA ID	UniProt ID	Gene Symbol	Description	Gene ID	Equivalent Entries
34542	P32243	OTX2	RecName: Full=Homeobox protein OTX2; AltName: Full=Orthodenticle homolog 2;	5015	-
36443	Q96PU5	NEDD4L	RecName: Full=E3 ubiquitin-protein ligase NEDD4-like; EC=2.3.2.26 {ECO:0000269|PubMed:28820317}; EC=2.3.2.36 {ECO:0000269|PubMed:33608556}; AltName: Full=HECT-type E3 ubiquitin transferase NED4L; AltName: Full=NEDD4.2; AltName: Full=Nedd4-2;	23327	-
38663	Q96KG7	MEGF10	RecName: Full=Multiple epidermal growth factor-like domains protein 10 {ECO:0000312|HGNC:HGNC:29634}; Short=Multiple EGF-like domains protein 10 {ECO:0000305}; Flags: Precursor;	84466	-
14280	O15111	CHUK	RecName: Full=Inhibitor of nuclear factor kappa-B kinase subunit alpha; Short=I-kappa-B kinase alpha; Short=IKK-A; Short=IKK-alpha; Short=IkBKA; Short=IkappaB kinase; EC=2.7.11.10 {ECO:0000269|PubMed:9244310, ECO:0000269|PubMed:9252186, ECO:0000269|PubMed:9346484}; AltName: Full=Conserved helix-loop-helix ubiquitous kinase; AltName: Full=I-kappa-B kinase 1 {ECO:0000303|PubMed:9346484}; Short=IKK-1 {ECO:0000303|PubMed:9346484}; Short=IKK1 {ECO:0000303|PubMed:9346484}; AltName: Full=Nuclear factor NF-kappa-B inhibitor kinase alpha; Short=NFKBIKA; AltName: Full=Transcription factor 16; Short=TCF-16;	1147	-
11615	O15550	KDM6A	RecName: Full=Lysine-specific demethylase 6A; EC=1.14.11.68 {ECO:0000269|PubMed:17713478, ECO:0000269|PubMed:17761849, ECO:0000269|PubMed:17851529, ECO:0000269|PubMed:18003914}; AltName: Full=Histone demethylase UTX; AltName: Full=Ubiquitously-transcribed TPR protein on the X chromosome; AltName: Full=Ubiquitously-transcribed X chromosome tetratricopeptide repeat protein; AltName: Full=[histone H3]-trimethyl-L-lysine(27) demethylase 6A {ECO:0000305};	7403	-
13039	O75496	GMNN	RecName: Full=Geminin;	51053	-
13133	P23760	PAX3	RecName: Full=Paired box protein Pax-3; AltName: Full=HuP2;	5077	-
14285	P63252	KCNJ2	RecName: Full=Inward rectifier potassium channel 2; AltName: Full=Cardiac inward rectifier potassium channel; AltName: Full=Inward rectifier K(+) channel Kir2.1; Short=IRK-1; Short=hIRK1; AltName: Full=Potassium channel, inwardly rectifying subfamily J member 2;	3759	-
36032	Q6KC79	NIPBL	RecName: Full=Nipped-B-like protein; AltName: Full=Delangin; AltName: Full=SCC2 homolog;	25836	-
24765	Q96MF2	STAC3	RecName: Full=SH3 and cysteine-rich domain-containing protein 3;	246329	-
53351	P49918	CDKN1C	RecName: Full=Cyclin-dependent kinase inhibitor 1C; AltName: Full=Cyclin-dependent kinase inhibitor p57; AltName: Full=p57Kip2;	1028	-
20889	P83876	TXNL4A	RecName: Full=Thioredoxin-like protein 4A; AltName: Full=DIM1 protein homolog {ECO:0000303|PubMed:11054566, ECO:0000303|Ref.1}; AltName: Full=Spliceosomal U5 snRNP-specific 15 kDa protein {ECO:0000303|PubMed:10610776}; AltName: Full=Thioredoxin-like U5 snRNP protein U5-15kD;	10907	-
34920	O75665	OFD1	RecName: Full=Centriole and centriolar satellite protein OFD1 {ECO:0000305}; AltName: Full=Oral-facial-digital syndrome 1 protein; AltName: Full=Protein 71-7A;	8481	-
44874	P13224	GP1BB	RecName: Full=Platelet glycoprotein Ib beta chain; Short=GP-Ib beta; Short=GPIb-beta; Short=GPIbB; AltName: Full=Antigen CD42b-beta; AltName: CD_antigen=CD42c; Flags: Precursor;	2812	-
37412	P49914	MTHFS	RecName: Full=5-formyltetrahydrofolate cyclo-ligase; EC=6.3.3.2; AltName: Full=5,10-methenyl-tetrahydrofolate synthetase; Short=MTHFS; Short=Methenyl-THF synthetase;	10588	-
9879	Q9UHF0	TAC3	RecName: Full=Tachykinin-3; AltName: Full=ZNEUROK1; Contains: RecName: Full=Neurokinin-B; Short=NKB; AltName: Full=Neuromedin-K; Flags: Precursor;	6866	-
7017	P61254	RPL26	RecName: Full=Large ribosomal subunit protein uL24 {ECO:0000303|PubMed:24524803}; AltName: Full=60S ribosomal protein L26;	6154	-
14476	P29474	NOS3	RecName: Full=Nitric oxide synthase 3 {ECO:0000312|HGNC:HGNC:7876}; EC=1.14.13.39 {ECO:0000269|PubMed:1378832, ECO:0000269|PubMed:35772285}; AltName: Full=Constitutive NOS; Short=cNOS; AltName: Full=EC-NOS; AltName: Full=NOS type III; Short=NOSIII; AltName: Full=Nitric oxide synthase, endothelial {ECO:0000305}; Short=Endothelial NOS {ECO:0000305}; Short=eNOS {ECO:0000305};	4846	-
7012	P46783	RPS10	RecName: Full=Small ribosomal subunit protein eS10 {ECO:0000303|PubMed:24524803}; AltName: Full=40S ribosomal protein S10;	6204	-
23453	Q9Y458	TBX22	RecName: Full=T-box transcription factor TBX22; Short=T-box protein 22;	50945	-
7011	P18077	RPL35A	RecName: Full=Large ribosomal subunit protein eL33 {ECO:0000303|PubMed:24524803}; AltName: Full=60S ribosomal protein L35a; AltName: Full=Cell growth-inhibiting gene 33 protein;	6165	-
14022	Q04721	NOTCH2	RecName: Full=Neurogenic locus notch homolog protein 2 {ECO:0000305}; Short=Notch 2; Short=hN2; Contains: RecName: Full=Notch 2 extracellular truncation; Short=N2ECD {ECO:0000303|PubMed:25985737}; Contains: RecName: Full=Notch 2 intracellular domain; Short=N2ICD {ECO:0000303|PubMed:25985737}; Flags: Precursor;	4853	-
42036	O14896	IRF6	RecName: Full=Interferon regulatory factor 6; Short=IRF-6;	3664	-
20926	Q15672	TWIST1	RecName: Full=Twist-related protein 1; AltName: Full=Class A basic helix-loop-helix protein 38; Short=bHLHa38; AltName: Full=H-twist;	7291	-
